player_id,player_name,gender,play_type,racket_used
4,Kevin Sukamuljo,Male,Mens Double,2
5,Marcus Fernaldi Gideon,Male,Mens Double,3
10,Hiroyuki Endo,Male,Mens Double,11
24,Chirag Shetty,Male,Mens Double,17
29,Tan Boon Heong,Male,Mens Double,26
1,Kento Momota,Male,Mens Singles,1
8,Viktor Axelsen,Male,Mens Singles,11
15,Kenta Nishimoto,Male,Mens Singles,13
21,Wang Chi Lin,Male,Mens Singles,14
25,Chou Tien Chen,Male,Mens Singles,17
27,Lee Chong Wei,Male,Mens Singles,18
28,Kanta Tsuneyama,Male,Mens Singles,26
30,Sai Praneeth,Male,Mens Singles,37
7,Tse Ying Suet,Female,Mixed Doubles,4
12,Lauren Smith,Female,Mixed Doubles,13
17,Dechapol Puavaranukroh,Male,Mixed Doubles,13
19,Arisa Higashino,Female,Mixed Doubles,14
22,Chae Yu Jung,Female,Mixed Doubles,14
23,Seo Seung Jae,Male,Mixed Doubles,14
26,Tang Chun Man,Male,Mixed Doubles,18
31,Marcus Ellis,Male,Mixed Doubles,37
32,Sapsiree Taerattanachai,Female,Mixed Doubles,44
16,Mayu Matsutomo,Female,Womens Doubles,13
2,Beiwen Zhang,Female,Womens Singles,1
3,Saina Nehwal,Female,Womens Singles,1
6,An Se Young,Female,Womens Singles,4
9,Akane Yamaguchi,Female,Womens Singles,11
13,Busanan Ongbumrungpan,Female,Womens Singles,13
14,Sung Ji Hyun,Female,Womens Singles,13
18,Ratchanok Intanon,Female,Womens Singles,14
20,Carolina Marin,Female,Womens Singles,14
